"ID";"Regions";"Periods";"AveragePurchasePrice_1"
"566";"GM0738";"2021JJ00";""
"567";"GM0738";"2022JJ00";""
"568";"GM0738";"2023JJ00";""
"569";"GM0738";"2024JJ00";""
"570";"GM0358";"1995JJ00";"  115081"
"571";"GM0358";"1996JJ00";"  126116"
"572";"GM0358";"1997JJ00";"  136515"
"573";"GM0358";"1998JJ00";"  150441"
"574";"GM0358";"1999JJ00";"  201630"
"575";"GM0358";"2000JJ00";"  213742"
"576";"GM0358";"2001JJ00";"  251666"
"577";"GM0358";"2002JJ00";"  257608"
"578";"GM0358";"2003JJ00";"  282494"
"579";"GM0358";"2004JJ00";"  261497"
